GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 1118;En vía pública;C8-n83, En 1496;En via publica; 575356.511899929; 6137520.210402312
 1139;En vía pública;c10_n31_Fte.1105;En via publica; 574654.929608017; 6136644.768469334
 1147;En vía pública;C8-n111, En 1386;En via publica; 574778.70681549; 6137267.634085225
 1152;En vía pública;c10_n38;En via publica; 574771.536929064; 6136342.246377267
 1157;En vía pública;C8-n122, Fte 1390;En via publica; 574616.745428403; 6137179.464929933
 1163;En vía pública;c10_n44_En el 1226;En via publica; 574722.594701357; 6136912.801072077
 1166;En vía pública;c10_n49_Fte.1258;En via publica; 574868.764441824; 6136980.466165416
 1169;En vía pública;c10_n58;En via publica; 574892.742848687; 6136254.873004313
 1171;En vía pública;c10_n64_Entre el 1083/1091;En via publica; 574959.422528046; 6136629.001845642
 1172;En vía pública;c10_n66_Fte.1159;En via publica; 574963.692655295; 6136786.996553876
 1173;En vía pública;c10_n67;En via publica; 574952.196158854; 6136911.815658094
 1180;En vía pública;c10_n73_En el 1195;En via publica; 575045.153544365; 6136861.888016407
 1183;En vía pública;c10_n75;En via publica; 575073.730549804; 6136641.81222739
 1375;En vía pública;C12-n3, En 973;En via publica; 576398.036179967; 6136428.246415239
 1380;En vía pública;C12-n14, Fte. 2210;En via publica; 576212.496856554; 6135767.41507725
 1385;En vía pública;C12-n15, En 2230;En via publica; 576257.629610262; 6135856.53562756
 1386;En vía pública;C12-n16;En via publica; 576218.857777943; 6135970.055885046
 1131;En vía pública;C8-n94, En 1305;En via publica; 575161.618957485; 6137126.132275126
 1137;En vía pública;C8-n102;En via publica; 575349.946347729; 6137087.909978202
 1159;En vía pública;c10_n43;En via publica; 574728.178713914; 6136833.31101097
 1127;En vía pública;C8-n89, Entre 1284/1278;En via publica; 575066.417137974; 6137119.926131933
 1130;En vía pública;c10_n26_En el 1294;En via publica; 574505.146682955; 6137020.868138624
 1133;En vía pública;C8-n98;En via publica; 575153.681121212; 6137202.905505872
 1176;En vía pública;c10_n68;En via publica; 574983.729406236; 6137034.335463025
 65;PUNTA CARRETAS SHOPPING;EN ELLAURI 350;Otras gdes. superficies; 576761.76553498; 6135120.567232714
 68;MONTEVIDEO SHOPPING;EN 1290;Otras gdes. superficies; 578818.872302366; 6137254.356466788
 121;COOPERATIVA BANCARIA;;Otras gdes. superficies; 572448.072666265; 6136858.821783738
 21;Cooperativa Policial;En 1335;Otras gdes. superficies; 574083.769021071; 6138068.436737414
 58;COOPERATIVA F.F.A.A.;;Otras gdes. superficies; 576002.192200096; 6138132.032032752
 84;NUEVOCENTRO;;Otras gdes. superficies; 575911.818235182; 6141086.992570492
 364;PORTONES SHOPPING;;Otras gdes. superficies; 584128.29013862; 6139743.200026801
 130;COOPERATIVA MAGISTERIAL;EN 1730;Otras gdes. superficies; 574964.501493667; 6137491.619834385
 89;MERCADO AGRICOLA;;Otras gdes. superficies; 574569.609990445; 6139208.192353673
 93;COOPERATIVA COSAP;EN 1588;Otras gdes. superficies; 574668.571136625; 6137457.412647141
 98;COOPERATIVA COSAP;EN 1469;Otras gdes. superficies; 574707.819894231; 6137425.1564757
 124;COOPERATIVA MUNICIPAL;;Otras gdes. superficies; 574448.53505198; 6136919.00325672
 112;SHOPPING TRES CRUCES;;Otras gdes. superficies; 576187.681442766; 6138335.08876648
